fecha,superficie_lago_km2,cota_estimada_m
2019-01-04,22.6207,465.0
2019-02-03,22.9566,465.0
2019-03-05,23.2571,465.0
2019-04-01,24.2997,465.0
2021-05-13,5.1217,465.0
2021-06-14,3.9851,465.0
2021-07-04,17.5017,465.0
2021-08-01,2.784,465.0
2021-09-20,23.0256,465.0
2021-10-07,23.9275,465.0
2021-11-06,24.0079,465.0
2021-12-04,22.9617,465.0
2022-01-08,23.8639,465.0
2022-02-02,23.6897,465.0
2022-03-09,23.6156,465.0
2022-04-13,10.982,465.0
2022-05-10,2.97,465.0
2022-06-09,0.555,465.0
2022-07-19,7.8358,465.0
2022-08-03,21.1133,465.0
2022-09-02,17.8158,465.0
2022-10-10,19.5855,465.0
2022-11-01,20.0411,465.0
2022-12-01,11.4245,465.0
2023-01-03,21.661,465.0
2023-02-02,21.0491,465.0
2023-03-04,15.842,465.0
2023-04-03,16.0465,465.0
